date,Open,High,Low,Close,ema_8,ema_21,ema_50,ema_200,macd,macd_signal,macd_hist,signal
2019-01-02 05:00:00,109.70500232754165,109.70500232754165,109.3005,109.429875,109.72979871787552,109.97454188507642,110.24504034258277,111.09714216744969,-0.21145021710995593,-0.1595689671555594,-0.051881249954396524,False
2019-01-02 06:00:00,109.56743866377082,109.56743866377082,109.128,109.249125,109.6229823361254,109.90859489552402,110.20598483895208,111.0787539369278,-0.241700270804742,-0.17599522788539593,-0.06570504291934606,False
2019-01-02 07:00:00,109.4082818318854,109.4082818318854,109.1825,109.274,109.54543070587532,109.85090445047638,110.16943641389513,111.0607961863116,-0.26066170579861137,-0.19292852346803901,-0.06773318233057235,False
2019-01-02 08:00:00,109.3411409159427,109.3411409159427,108.90350000000001,109.12275,109.45150166012525,109.78470859134217,110.12838988786002,111.04151214465676,-0.28461255423198395,-0.211265329620828,-0.07334722461115595,False
2019-01-02 09:00:00,109.23194545797135,109.23194545797135,108.70949999999999,108.896625,109.32819573565297,109.70397371940197,110.08008538245375,111.0201699840134,-0.3181724776002284,-0.23264675921670808,-0.0855257183835203,False
2019-01-02 10:00:00,109.06428522898568,109.105,108.8805,108.99425,109.25398557217453,109.63945338127452,110.03750360274968,111.00001157621227,-0.3330522183861717,-0.2527278510506008,-0.08032436733557091,False
2019-01-02 11:00:00,109.02926761449284,109.1785,109.02926761449284,109.094625,109.2185721116913,109.58992352843138,110.0005279712693,110.9810525058022,-0.33290754557303615,-0.2687637899550879,-0.06414375561794827,False
2019-01-02 12:00:00,109.06194630724642,109.287,109.06194630724642,109.16012500000001,109.20558386464879,109.55085093493763,109.96757099200384,110.96293382415243,-0.32377530851918834,-0.27976609366790794,-0.0440092148512804,False
2019-01-02 13:00:00,109.11103565362322,109.197,108.82249999999999,109.08825,109.17950967250461,109.50879630448875,109.93308781584683,110.94428025376286,-0.31866429306651867,-0.2875457335476301,-0.03111855951888859,False
2019-01-02 14:00:00,109.09964282681162,109.362,109.09964282681162,109.26650000000001,109.19884085639248,109.48676936771705,109.90694711718618,110.92758592287964,-0.2968090610957148,-0.289398399057247,-0.007410662038467797,False
2019-01-02 15:00:00,109.18307141340581,109.394,109.18307141340581,109.320625,109.22590399941637,109.47166533428822,109.8839540929828,110.91159626195547,-0.2719859128439879,-0.2859159018145952,0.013929988970607321,False
